time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,datetimes
2023-02-11 22:00:00,1542.0,1531.62,1534.68,15623.11,24006324.82,1536.63,direct,,2023-02-11
2023-02-11 23:00:00,1542.93,1535.88,1536.63,9685.63,14914640.69,1538.79,direct,,2023-02-11
2023-02-12 00:00:00,1539.48,1533.68,1538.79,6780.03,10418145.51,1533.9,direct,,2023-02-12
2023-02-12 01:00:00,1535.71,1532.8,1533.9,3979.67,6104179.62,1533.83,direct,,2023-02-12
2023-02-12 02:00:00,1536.11,1530.91,1533.83,3775.67,5789276.99,1535.67,direct,,2023-02-12
2023-02-12 03:00:00,1535.67,1531.85,1535.67,5566.6,8536729.1,1531.91,direct,,2023-02-12
2023-02-12 04:00:00,1532.34,1530.06,1531.91,5454.76,8350718.03,1531.99,direct,,2023-02-12
2023-02-12 05:00:00,1533.93,1531.6,1531.99,2333.34,3576768.01,1533.77,direct,,2023-02-12
2023-02-12 06:00:00,1534.57,1531.98,1533.77,2675.1,4102178.9,1533.43,direct,,2023-02-12
2023-02-12 07:00:00,1533.43,1530.34,1533.43,2505.12,3836219.63,1531.5,direct,,2023-02-12
2023-02-12 08:00:00,1535.15,1531.48,1531.5,3714.49,5695171.07,1532.0,direct,,2023-02-12
2023-02-12 09:00:00,1538.78,1531.5,1532.0,7817.17,12003289.64,1537.24,direct,,2023-02-12
2023-02-12 10:00:00,1538.52,1532.49,1537.24,5533.23,8496758.03,1536.16,direct,,2023-02-12
2023-02-12 11:00:00,1536.49,1533.56,1536.16,2964.28,4548841.15,1533.97,direct,,2023-02-12
2023-02-12 12:00:00,1535.28,1523.59,1533.97,9441.98,14432007.38,1526.01,direct,,2023-02-12
2023-02-12 13:00:00,1528.7,1522.82,1526.01,8289.35,12645593.04,1526.47,direct,,2023-02-12
2023-02-12 14:00:00,1536.67,1525.49,1526.47,8553.59,13100155.09,1532.88,direct,,2023-02-12
2023-02-12 15:00:00,1539.71,1530.63,1532.88,12172.47,18687010.43,1536.34,direct,,2023-02-12
2023-02-12 16:00:00,1547.62,1534.99,1536.34,33343.79,51424342.87,1543.92,direct,,2023-02-12
2023-02-12 17:00:00,1546.37,1540.58,1543.92,8877.28,13704041.49,1541.3,direct,,2023-02-12
2023-02-12 18:00:00,1542.07,1539.04,1541.3,8060.52,12419585.21,1540.36,direct,,2023-02-12
2023-02-12 19:00:00,1542.15,1537.21,1540.36,4923.73,7579260.2,1539.91,direct,,2023-02-12
2023-02-12 20:00:00,1541.91,1537.51,1539.91,3852.94,5933335.92,1538.13,direct,,2023-02-12
2023-02-12 21:00:00,1538.47,1509.58,1538.13,29320.43,44577907.63,1511.49,direct,,2023-02-12
